training_state,yellow_state,lane_ids,#of_cars,ratio,max_ratio,new_max_ratio,tl_durations,tl_id,action,reward
915,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[8, 8, 0, 0, 0, 0, 0, 0, 0, 9, 9, 3, 2, 0, 0, 0, 0]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11733773712001043, 0.11733773712001043, 0.02607505269333565, 0.02607505269333565, 0.0, 0.0, 0.0, 0.0]",0.18697413524462447,0.18697413524462447,"[54.0, 3.0, 29.0]",JM1,"('decrease_green', 'JM1')",1
916,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[7, 7, 0, 0, 0, 0, 0, 0, 0, 8, 8, 3, 2, 0, 0, 0, 0]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11733773712001043, 0.11733773712001043, 0.039112579040003474, 0.02607505269333565, 0.0, 0.0, 0.0, 0.0]",0.18697413524462447,0.16360236833904643,"[53.0, 3.0, 29.0]",JM1,"('decrease_red', 'JM1')",2
917,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[8, 8, 0, 0, 0, 0, 0, 0, 0, 8, 8, 4, 2, 0, 0, 0, 0]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1043002107733426, 0.1043002107733426, 0.039112579040003474, 0.02607505269333565, 0.0, 0.0, 0.0, 0.0]",0.18697413524462447,0.18697413524462447,"[53.0, 3.0, 28.0]",JM1,"('increase_red', 'JM1')",1
918,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[8, 8, 0, 0, 0, 0, 0, 0, 0, 10, 10, 2, 2, 0, 0, 0, 0]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11733773712001043, 0.11733773712001043, 0.039112579040003474, 0.02607505269333565, 0.0, 0.0, 0.0, 0.0]",0.18697413524462447,0.18697413524462447,"[53.0, 3.0, 29.0]",JM1,"('decrease_red', 'JM1')",1
919,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[8, 8, 0, 0, 0, 0, 0, 0, 0, 10, 10, 2, 2, 0, 0, 0, 0]","[0.16360236833904643, 0.16360236833904643, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13037526346667824, 0.13037526346667824, 0.02607505269333565, 0.02607505269333565, 0.0, 0.0, 0.0, 0.0]",0.16360236833904643,0.18697413524462447,"[53.0, 3.0, 28.0]",JM1,"('decrease_red', 'JM1')",-2
920,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[7, 7, 0, 0, 0, 0, 0, 0, 0, 10, 10, 3, 2, 0, 0, 0, 0]","[0.16360236833904643, 0.16360236833904643, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11733773712001043, 0.11733773712001043, 0.039112579040003474, 0.02607505269333565, 0.0, 0.0, 0.0, 0.0]",0.16360236833904643,0.16360236833904643,"[53.0, 3.0, 27.0]",JM1,"('increase_green', 'JM1')",1
921,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[8, 8, 0, 0, 0, 0, 0, 0, 0, 10, 10, 4, 2, 0, 0, 0, 0]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13037526346667824, 0.13037526346667824, 0.039112579040003474, 0.02607505269333565, 0.0, 0.0, 0.0, 0.0]",0.18697413524462447,0.18697413524462447,"[54.0, 3.0, 27.0]",JM1,"('increase_green', 'JM1')",1
922,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[9, 9, 0, 0, 0, 0, 0, 0, 0, 10, 10, 3, 3, 0, 0, 0, 0]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13037526346667824, 0.13037526346667824, 0.039112579040003474, 0.039112579040003474, 0.0, 0.0, 0.0, 0.0]",0.18697413524462447,0.21034590215020255,"[55.0, 3.0, 27.0]",JM1,"('decrease_green', 'JM1')",-2
923,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[9, 9, 0, 0, 0, 0, 0, 0, 0, 9, 9, 3, 2, 0, 0, 0, 0]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11733773712001043, 0.11733773712001043, 0.039112579040003474, 0.039112579040003474, 0.0, 0.0, 0.0, 0.0]",0.18697413524462447,0.21034590215020255,"[54.0, 3.0, 27.0]",JM1,"('increase_green', 'JM1')",-2
924,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[8, 8, 0, 0, 0, 0, 0, 0, 0, 9, 9, 3, 2, 0, 0, 0, 0]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1043002107733426, 0.1043002107733426, 0.039112579040003474, 0.02607505269333565, 0.0, 0.0, 0.0, 0.0]",0.18697413524462447,0.18697413524462447,"[55.0, 3.0, 27.0]",JM1,"('decrease_red', 'JM1')",1
