training_state,yellow_state,lane_ids,#of_cars,ratio,avg_ratio,tl_durations,tl_id,action,reward
77,yyyyyrrryyyyyrrr,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[57, 57, 6, 2, 2, 26, 26, 26, 3, 3, 3, 2, 2, 36, 36, 0]","[0.19013059255557246, 0.19013059255557246, 0.020371134916668476, 0.006790378305556159, 0.006790378305556159, 0.17262992393659965, 0.17262992393659965, 0.17262992393659965, 0.17884395268981304, 0.17884395268981304, 0.17884395268981304, 0.1192293017932087, 0.1192293017932087, 0.19429380677696798, 0.19429380677696798, 0.0]",0.13098005772865734,"[48.0, 20.0, 8.0, 8.0, 8.0, 8.0]",cluster_11881242783_4896821604_4896821606_4910575089_#1more,"('decrease_green', 'cluster_11881242783_4896821604_4896821606_4910575089_#1more')",-0.1314044563727546
77,rrrrryygrrrrryyg,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[57, 57, 6, 2, 2, 26, 26, 26, 4, 4, 3, 2, 2, 36, 36, 0]","[0.19352578170835052, 0.19352578170835052, 0.020371134916668476, 0.006790378305556159, 0.006790378305556159, 0.17262992393659965, 0.17262992393659965, 0.17262992393659965, 0.17884395268981304, 0.17884395268981304, 0.17884395268981304, 0.1192293017932087, 0.1192293017932087, 0.19429380677696798, 0.19429380677696798, 0.0]",0.1314044563727546,"[48.0, 20.0, 8.0, 8.0, 8.0, 8.0]",cluster_11881242783_4896821604_4896821606_4910575089_#1more,"('decrease_red', 'cluster_11881242783_4896821604_4896821606_4910575089_#1more')",-0.1388562877348301
77,rrrrrrryrrrrrrry,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[57, 57, 6, 2, 2, 25, 25, 25, 4, 4, 3, 2, 2, 36, 36, 0]","[0.19352578170835052, 0.19352578170835052, 0.020371134916668476, 0.006790378305556159, 0.006790378305556159, 0.17262992393659965, 0.17262992393659965, 0.17262992393659965, 0.2384586035864174, 0.2384586035864174, 0.17884395268981304, 0.1192293017932087, 0.1192293017932087, 0.19429380677696798, 0.19429380677696798, 0.0]",0.1388562877348301,"[48.0, 20.0, 8.0, 8.0, 8.0, 8.0]",cluster_11881242783_4896821604_4896821606_4910575089_#1more,"('increase_green', 'cluster_11881242783_4896821604_4896821606_4910575089_#1more')",-0.13761136039874886
78,yyyyy,"('ER0_0', 'ER0_1', 'ER0_2', 'ER0_3')","[3, 0, 0, 0]","[0.04757434283974424, 0.0, 0.0, 0.0]",0.01189358570993606,"[50.0, 45.0, 10.0]",J4,"('increase_red', 'J4')",-0.01189358570993606
78,yyyyy,"('E8_0', 'E8_1', 'E8_2', 'E8_3')","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]",0.0,"[55.0, 34.0, 10.0]",J6,"('decrease_red', 'J6')",-0.0
78,rrrrryyyyrrrrGGGg,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[4, 4, 0, 0, 0, 0, 0, 0, 0, 5, 5, 2, 6, 35, 35, 0, 0]","[0.02434559052664381, 0.02434559052664381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016975945763890398, 0.016975945763890398, 0.006790378305556159, 0.020371134916668476, 0.1874657205539558, 0.1874657205539558, 0.0, 0.0]",0.028513883935953215,"[44.0, 19.0, 8.0, 8.0, 8.0, 8.0]",JM1,"('decrease_green', 'JM1')",-0.028513883935953215
78,rrrrrrrrrrrrryyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[4, 4, 0, 0, 0, 0, 0, 0, 0, 5, 5, 2, 6, 35, 35, 0, 0]","[0.02434559052664381, 0.02434559052664381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016975945763890398, 0.016975945763890398, 0.006790378305556159, 0.020371134916668476, 0.1874657205539558, 0.1874657205539558, 0.0, 0.0]",0.028513883935953215,"[44.0, 19.0, 8.0, 8.0, 8.0, 8.0]",JM1,"('decrease_green', 'JM1')",-0.028513883935953215
78,yyyygrrrryyygrrrr,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[4, 4, 0, 0, 0, 0, 0, 0, 0, 4, 4, 3, 5, 35, 35, 0, 0]","[0.02434559052664381, 0.02434559052664381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016975945763890398, 0.016975945763890398, 0.006790378305556159, 0.020371134916668476, 0.1874657205539558, 0.1874657205539558, 0.0, 0.0]",0.028513883935953215,"[44.0, 19.0, 8.0, 8.0, 8.0, 8.0]",JM1,"('decrease_red', 'JM1')",-0.02811444991797932
78,rrrryrrrrrrryrrrr,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[4, 4, 0, 0, 0, 0, 0, 0, 0, 4, 4, 3, 5, 35, 35, 0, 0]","[0.02434559052664381, 0.02434559052664381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013580756611112318, 0.013580756611112318, 0.010185567458334238, 0.016975945763890398, 0.1874657205539558, 0.1874657205539558, 0.0, 0.0]",0.02811444991797932,"[44.0, 19.0, 8.0, 8.0, 8.0, 8.0]",JM1,"('increase_red', 'JM1')",-0.02811444991797932
78,yyyyyyrrrr,"('E6_0', 'E6_1', 'E6_2', 'E6_2', 'E6_3', 'E6_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 7.8125, 7.8125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.5625,"[45.0, 14.0, 30.0, 8.0]",JM3,"('decrease_red', 'JM3')",-1.5625
78,rrrrrryyyy,"('E6_0', 'E6_1', 'E6_2', 'E6_2', 'E6_3', 'E6_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 7.8125, 7.8125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.5625,"[45.0, 14.0, 30.0, 8.0]",JM3,"('decrease_red', 'JM3')",-1.5625
78,yyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3')","[2, 1, 5, 6]","[0.03264389428601274, 0.01632194714300637, 0.08160973571503186, 0.09793168285803823]",0.0571268150005223,"[47.0, 30.0, 10.0]",JR3,"('increase_red', 'JR3')",-0.0571268150005223
