training_state,yellow_state,lane_ids,#of_cars,ratio,max_ratio,new_max_ratio,tl_durations,tl_id,action,reward
137,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[13, 13, 0, 0, 0, 4, 4, 1, 1, 14, 14, 3, 14, 7, 7, 1, 1]","[0.3038329697725148, 0.3038329697725148, 0.0, 0.0, 0.0, 0.08862629246676514, 0.08862629246676514, 0.022156573116691284, 0.022156573116691284, 0.18252536885334955, 0.18252536885334955, 0.039112579040003474, 0.19556289520001738, 0.12340600575894692, 0.12340600575894692, 0.020567667626491155, 0.020567667626491155]",0.3038329697725148,0.3038329697725148,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",1
138,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[12, 12, 0, 0, 0, 4, 4, 1, 1, 13, 13, 3, 13, 6, 6, 2, 1]","[0.2804612028669367, 0.2804612028669367, 0.0, 0.0, 0.0, 0.08862629246676514, 0.08862629246676514, 0.022156573116691284, 0.022156573116691284, 0.16948784250668172, 0.16948784250668172, 0.039112579040003474, 0.18252536885334955, 0.14397367338543807, 0.14397367338543807, 0.020567667626491155, 0.020567667626491155]",0.2804612028669367,0.2804612028669367,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",1
139,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[11, 11, 0, 0, 0, 5, 5, 1, 1, 12, 12, 2, 12, 6, 6, 2, 1]","[0.2570894359613587, 0.2570894359613587, 0.0, 0.0, 0.0, 0.08862629246676514, 0.08862629246676514, 0.022156573116691284, 0.022156573116691284, 0.1564503161600139, 0.1564503161600139, 0.039112579040003474, 0.16948784250668172, 0.12340600575894692, 0.12340600575894692, 0.04113533525298231, 0.020567667626491155]",0.2570894359613587,0.2570894359613587,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",1
140,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[10, 10, 0, 0, 0, 5, 5, 1, 1, 11, 11, 2, 12, 6, 6, 2, 1]","[0.2570894359613587, 0.2570894359613587, 0.0, 0.0, 0.0, 0.11078286558345643, 0.11078286558345643, 0.022156573116691284, 0.022156573116691284, 0.14341278981334607, 0.14341278981334607, 0.02607505269333565, 0.1564503161600139, 0.12340600575894692, 0.12340600575894692, 0.04113533525298231, 0.020567667626491155]",0.2570894359613587,0.2337176690557806,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",2
141,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[9, 9, 0, 0, 0, 5, 5, 1, 1, 11, 11, 1, 11, 6, 6, 2, 1]","[0.2337176690557806, 0.2337176690557806, 0.0, 0.0, 0.0, 0.11078286558345643, 0.11078286558345643, 0.022156573116691284, 0.022156573116691284, 0.14341278981334607, 0.14341278981334607, 0.02607505269333565, 0.14341278981334607, 0.12340600575894692, 0.12340600575894692, 0.04113533525298231, 0.020567667626491155]",0.2337176690557806,0.21034590215020255,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",2
142,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[8, 8, 0, 0, 0, 6, 6, 1, 1, 11, 11, 1, 10, 6, 6, 2, 1]","[0.21034590215020255, 0.21034590215020255, 0.0, 0.0, 0.0, 0.11078286558345643, 0.11078286558345643, 0.022156573116691284, 0.022156573116691284, 0.14341278981334607, 0.14341278981334607, 0.013037526346667825, 0.13037526346667824, 0.12340600575894692, 0.12340600575894692, 0.04113533525298231, 0.020567667626491155]",0.21034590215020255,0.18697413524462447,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",2
143,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[7, 7, 0, 0, 0, 6, 6, 1, 1, 10, 10, 0, 9, 6, 6, 2, 1]","[0.18697413524462447, 0.18697413524462447, 0.0, 0.0, 0.0, 0.1329394387001477, 0.1329394387001477, 0.022156573116691284, 0.022156573116691284, 0.14341278981334607, 0.14341278981334607, 0.0, 0.13037526346667824, 0.12340600575894692, 0.12340600575894692, 0.04113533525298231, 0.020567667626491155]",0.18697413524462447,0.16360236833904643,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",2
144,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[7, 7, 0, 0, 0, 6, 6, 1, 1, 11, 11, 1, 9, 6, 6, 2, 1]","[0.16360236833904643, 0.16360236833904643, 0.0, 0.0, 0.0, 0.1329394387001477, 0.1329394387001477, 0.022156573116691284, 0.022156573116691284, 0.13037526346667824, 0.13037526346667824, 0.013037526346667825, 0.11733773712001043, 0.12340600575894692, 0.12340600575894692, 0.04113533525298231, 0.020567667626491155]",0.16360236833904643,0.16360236833904643,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",1
145,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[6, 6, 0, 0, 0, 5, 5, 2, 2, 10, 10, 3, 10, 6, 6, 2, 1]","[0.14023060143346835, 0.14023060143346835, 0.0, 0.0, 0.0, 0.11078286558345643, 0.11078286558345643, 0.04431314623338257, 0.04431314623338257, 0.11733773712001043, 0.11733773712001043, 0.02607505269333565, 0.11733773712001043, 0.12340600575894692, 0.12340600575894692, 0.04113533525298231, 0.020567667626491155]",0.14023060143346835,0.14023060143346835,"[45.0, 3.0, 38.0]",JM1,"('decrease_red', 'JM1')",1
146,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[5, 5, 0, 0, 0, 5, 5, 2, 2, 10, 10, 4, 10, 5, 5, 3, 1]","[0.1168588345278903, 0.1168588345278903, 0.0, 0.0, 0.0, 0.11078286558345643, 0.11078286558345643, 0.04431314623338257, 0.04431314623338257, 0.11733773712001043, 0.11733773712001043, 0.039112579040003474, 0.11733773712001043, 0.12340600575894692, 0.12340600575894692, 0.04113533525298231, 0.020567667626491155]",0.12340600575894692,0.13037526346667824,"[45.0, 3.0, 38.0]",JM1,"('decrease_red', 'JM1')",0
147,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[4, 4, 0, 0, 0, 5, 5, 2, 2, 10, 10, 4, 10, 5, 5, 3, 1]","[0.09348706762231224, 0.09348706762231224, 0.0, 0.0, 0.0, 0.11078286558345643, 0.11078286558345643, 0.04431314623338257, 0.04431314623338257, 0.13037526346667824, 0.13037526346667824, 0.06518763173333912, 0.13037526346667824, 0.10283833813245577, 0.10283833813245577, 0.06170300287947346, 0.020567667626491155]",0.13037526346667824,0.13037526346667824,"[45.0, 3.0, 38.0]",JM1,"('increase_red', 'JM1')",1
148,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[3, 3, 0, 0, 0, 5, 5, 2, 2, 9, 9, 4, 10, 5, 5, 3, 1]","[0.09348706762231224, 0.09348706762231224, 0.0, 0.0, 0.0, 0.11078286558345643, 0.11078286558345643, 0.04431314623338257, 0.04431314623338257, 0.13037526346667824, 0.13037526346667824, 0.0521501053866713, 0.14341278981334607, 0.10283833813245577, 0.10283833813245577, 0.06170300287947346, 0.020567667626491155]",0.14341278981334607,0.13037526346667824,"[45.0, 3.0, 38.0]",JM1,"('increase_red', 'JM1')",1
149,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[2, 2, 0, 0, 0, 5, 5, 2, 2, 10, 10, 4, 11, 5, 5, 3, 1]","[0.07011530071673418, 0.07011530071673418, 0.0, 0.0, 0.0, 0.11078286558345643, 0.11078286558345643, 0.04431314623338257, 0.04431314623338257, 0.11733773712001043, 0.11733773712001043, 0.0521501053866713, 0.14341278981334607, 0.10283833813245577, 0.10283833813245577, 0.06170300287947346, 0.020567667626491155]",0.14341278981334607,0.14341278981334607,"[45.0, 3.0, 38.0]",JM1,"('no_change', 'JM1')",1
