training_state,yellow_state,lane_ids,#of_cars,ratio,max_ratio,new_max_ratio,tl_durations,tl_id,action,reward
280,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[5, 3, 0, 3, 1, 18, 18, 19, 19]","[0.22628700735432775, 0.07542900245144257, 0.037714501225721286, 0.15085800490288515, 0.07542900245144257, 0.4140786749482402, 0.4140786749482402, 0.43708304577869794, 0.43708304577869794]",0.43708304577869794,0.43708304577869794,"[45.0, 3.0, 30.0]",JM2,"('increase_green', 'JM2')",1
281,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[11, 7, 8, 6]","[0.26000630318310747, 0.1654585565710684, 0.18909549322407818, 0.14182161991805864]",0.26000630318310747,0.26000630318310747,"[45.0, 3.0, 30.0]",J3,"('increase_green', 'J3')",1
281,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[7, 7, 1, 1, 1, 26, 26, 26, 26, 11, 11, 12, 0, 0, 17, 17, 0]","[0.11707317073170732, 0.11707317073170732, 0.016724738675958188, 0.016724738675958188, 0.016724738675958188, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.7816200852676457, 0.7816200852676457, 0.7816200852676457, 0.0, 0.0, 0.4951696684305063, 0.4951696684305063, 0.0]",0.7994260530900892,0.8526764566556135,"[45.0, 3.0, 30.0]",JM0,"('increase_red', 'JM0')",-3
281,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[1, 1, 3, 3, 3, 20, 20, 6, 6, 39, 39, 38, 15, 12, 12, 10, 25]","[0.02300437083045779, 0.02300437083045779, 0.09201748332183116, 0.09201748332183116, 0.09201748332183116, 0.5305533578442779, 0.5305533578442779, 0.16754316563503513, 0.16754316563503513, 0.6524648672763774, 0.6524648672763774, 0.6357349988846754, 0.2509480258755298, 0.38836885082652856, 0.38836885082652856, 0.26887074287990437, 0.7468631746664011]",0.7468631746664011,0.7468631746664011,"[45.0, 3.0, 38.0]",JM1,"('decrease_green', 'JM1')",1
281,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[3, 2, 1, 1, 0, 18, 18, 19, 19]","[0.11314350367716387, 0.07542900245144257, 0.037714501225721286, 0.037714501225721286, 0.037714501225721286, 0.4140786749482402, 0.4140786749482402, 0.43708304577869794, 0.43708304577869794]",0.43708304577869794,0.43708304577869794,"[45.0, 3.0, 30.0]",JM2,"('decrease_red', 'JM2')",1
282,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[10, 8, 8, 4]","[0.2363693665300977, 0.14182161991805864, 0.18909549322407818, 0.09454774661203909]",0.2363693665300977,0.2363693665300977,"[45.0, 3.0, 30.0]",J3,"('no_change', 'J3')",1
282,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[4, 4, 1, 1, 1, 26, 26, 26, 26, 12, 12, 12, 0, 0, 17, 17, 2]","[0.08362369337979095, 0.08362369337979095, 0.016724738675958188, 0.016724738675958188, 0.016724738675958188, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.8526764566556135, 0.8526764566556135, 0.8526764566556135, 0.0, 0.0, 0.4951696684305063, 0.4951696684305063, 0.05825525510947133]",0.8526764566556135,0.8526764566556135,"[45.0, 3.0, 30.0]",JM0,"('no_change', 'JM0')",1
282,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[2, 2, 5, 5, 5, 20, 20, 7, 7, 35, 35, 39, 14, 14, 14, 10, 25]","[0.04600874166091558, 0.04600874166091558, 0.11502185415228894, 0.11502185415228894, 0.11502185415228894, 0.5584772187834505, 0.5584772187834505, 0.19546702657420767, 0.19546702657420767, 0.6022752621012715, 0.6022752621012715, 0.6524648672763774, 0.2342181574838278, 0.4182433778131846, 0.4182433778131846, 0.2987452698665604, 0.7468631746664011]",0.7468631746664011,0.7468631746664011,"[45.0, 3.0, 38.0]",JM1,"('no_change', 'JM1')",1
282,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[3, 1, 0, 2, 0, 19, 19, 19, 19]","[0.11314350367716387, 0.037714501225721286, 0.0, 0.037714501225721286, 0.0, 0.43708304577869794, 0.43708304577869794, 0.43708304577869794, 0.43708304577869794]",0.43708304577869794,0.43708304577869794,"[45.0, 3.0, 30.0]",JM2,"('no_change', 'JM2')",1
283,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[6, 7, 6, 2]","[0.18909549322407818, 0.1654585565710684, 0.1654585565710684, 0.047273873306019544]",0.18909549322407818,0.1654585565710684,"[45.0, 3.0, 30.0]",J3,"('increase_green', 'J3')",2
283,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[2, 2, 1, 1, 1, 26, 26, 26, 26, 12, 12, 12, 0, 0, 18, 18, 3]","[0.050174216027874564, 0.050174216027874564, 0.016724738675958188, 0.016724738675958188, 0.016724738675958188, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.8526764566556135, 0.8526764566556135, 0.8526764566556135, 0.0, 0.0, 0.4951696684305063, 0.4951696684305063, 0.08738288266420699]",0.8526764566556135,0.8526764566556135,"[45.0, 3.0, 30.0]",JM0,"('increase_red', 'JM0')",1
283,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[3, 3, 5, 5, 5, 21, 21, 8, 8, 34, 34, 38, 12, 14, 14, 12, 25]","[0.06901311249137336, 0.06901311249137336, 0.11502185415228894, 0.11502185415228894, 0.11502185415228894, 0.586401079722623, 0.586401079722623, 0.22339088751338018, 0.22339088751338018, 0.5855453937095695, 0.5855453937095695, 0.6357349988846754, 0.20075842070042382, 0.38836885082652856, 0.38836885082652856, 0.3584943238398725, 0.7468631746664011]",0.7468631746664011,0.7468631746664011,"[45.0, 3.0, 38.0]",JM1,"('decrease_green', 'JM1')",1
283,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[1, 1, 0, 3, 0, 19, 19, 21, 21]","[0.037714501225721286, 0.037714501225721286, 0.0, 0.11314350367716387, 0.0, 0.43708304577869794, 0.43708304577869794, 0.46008741660915575, 0.46008741660915575]",0.46008741660915575,0.48309178743961356,"[45.0, 3.0, 30.0]",JM2,"('increase_green', 'JM2')",-2
284,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[5, 6, 2, 1]","[0.11818468326504886, 0.14182161991805864, 0.09454774661203909, 0.047273873306019544]",0.14182161991805864,0.14182161991805864,"[45.0, 3.0, 30.0]",J3,"('decrease_red', 'J3')",1
284,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[1, 1, 0, 0, 0, 26, 26, 26, 26, 12, 12, 12, 0, 0, 18, 18, 5]","[0.016724738675958188, 0.016724738675958188, 0.0, 0.0, 0.0, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.7994260530900892, 0.8526764566556135, 0.8526764566556135, 0.8526764566556135, 0.0, 0.0, 0.524297295985242, 0.524297295985242, 0.14563813777367832]",0.8526764566556135,0.8526764566556135,"[45.0, 3.0, 30.0]",JM0,"('no_change', 'JM0')",1
