training_state,tls_id,action,tl_durations,reward,max_previous_local,max_new_local,neighbors,max_previous_neighbors,max_new_neighbors
772,JM2,"('increase_green', 'JM2')","[72.0, 3.0, 33.0]",1,0.7361398665746492,0.7131354957441914,"['JM1', 'J3']","[0.7818681062968307, 0.09454774661203909]","[0.7818681062968307, 0.11818468326504886]"
773,J3,"('increase_red', 'J3')","[67.0, 3.0, 24.0]",0,0.11818468326504886,0.14182161991805864,['JM2'],[0.7131354957441914],[0.6901311249137336]
773,JM0,"('decrease_green', 'JM0')","[71.0, 3.0, 43.0]",2,0.7994260530900892,0.7994260530900892,['JM1'],[0.7818681062968307],[0.7818681062968307]
773,JM1,"('no_change', 'JM1')","[71.0, 3.0, 35.0]",4,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7994260530900892, 0.6901311249137336]","[0.7994260530900892, 0.6671267540832758]"
773,JM2,"('increase_green', 'JM2')","[73.0, 3.0, 33.0]",3,0.6671267540832758,0.6671267540832758,"['JM1', 'J3']","[0.7818681062968307, 0.1654585565710684]","[0.7818681062968307, 0.1654585565710684]"
774,J3,"('decrease_red', 'J3')","[67.0, 3.0, 25.0]",3,0.18909549322407818,0.1654585565710684,['JM2'],[0.644122383252818],[0.644122383252818]
774,JM0,"('decrease_green', 'JM0')","[70.0, 3.0, 43.0]",2,0.7994260530900892,0.7994260530900892,['JM1'],[0.7818681062968307],[0.7818681062968307]
774,JM1,"('increase_green', 'JM1')","[71.0, 3.0, 35.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7994260530900892, 0.6211180124223603]","[0.7994260530900892, 0.6211180124223603]"
774,JM2,"('decrease_green', 'JM2')","[74.0, 3.0, 33.0]",1,0.6211180124223603,0.5981136415919025,"['JM1', 'J3']","[0.7818681062968307, 0.18909549322407818]","[0.7818681062968307, 0.21273242987708793]"
775,J3,"('increase_red', 'J3')","[67.0, 3.0, 24.0]",3,0.18909549322407818,0.18909549322407818,['JM2'],[0.5981136415919025],[0.5751092707614447]
775,JM0,"('decrease_red', 'JM0')","[69.0, 3.0, 43.0]",2,0.7994260530900892,0.7994260530900892,['JM1'],[0.7818681062968307],[0.7818681062968307]
775,JM1,"('decrease_red', 'JM1')","[72.0, 3.0, 35.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7994260530900892, 0.5521048999309869]","[0.7994260530900892, 0.5521048999309869]"
775,JM2,"('increase_green', 'JM2')","[73.0, 3.0, 33.0]",4,0.5521048999309869,0.5291005291005291,"['JM1', 'J3']","[0.7818681062968307, 0.18909549322407818]","[0.7818681062968307, 0.18909549322407818]"
776,J3,"('increase_green', 'J3')","[67.0, 3.0, 25.0]",0,0.1654585565710684,0.18909549322407818,['JM2'],[0.5291005291005291],[0.5060961582700714]
776,JM0,"('no_change', 'JM0')","[69.0, 3.0, 42.0]",2,0.7994260530900892,0.7994260530900892,['JM1'],[0.7818681062968307],[0.7818681062968307]
776,JM1,"('increase_green', 'JM1')","[72.0, 3.0, 34.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7994260530900892, 0.5060961582700714]","[0.7994260530900892, 0.5060961582700714]"
